"sample"	"strain"	"median"
"T12_AB128_I0_REP2"	"3237"	0
"T12_AB128_I0_REP2"	"403"	136
"T12_AB128_I0_REP2"	"2467"	0
"T12_AB128_I0_REP2"	"262"	0
"T12_AB128_I0_REP2"	"1875"	492
"T12_AB128_I0_REP2"	"1842"	0
"T12_AB128_I0_REP2"	"2948"	0
"T12_AB128_I0_REP3"	"RP4"	0
"T12_AB128_I0_REP3"	"1972"	0
"T12_AB128_I0_REP3"	"6"	0
"T12_AB128_I0_REP3"	"K12"	0
"T12_AB128_I0_REP3"	"2494"	0
"T12_AB128_I0_REP3"	"2159"	0
"T12_AB128_I0_REP3"	"2792"	0
"T12_AB128_I0_REP3"	"2443"	0
"T12_AB128_I0_REP3"	"1292"	0
"T12_AB128_I0_REP3"	"3172"	32
"T12_AB128_I0_REP3"	"1988"	0
"T12_AB128_I0_REP3"	"2659"	246
"T12_AB128_I0_REP3"	"1279"	0
"T12_AB128_I0_REP3"	"1992"	4
"T12_AB128_I0_REP3"	"1966"	0
"T12_AB128_I0_REP3"	"97"	0
"T12_AB128_I0_REP3"	"2164"	0
"T12_AB128_I0_REP3"	"1896"	242
"T12_AB128_I0_REP3"	"105"	92
"T12_AB128_I0_REP3"	"1874"	0
"T12_AB128_I0_REP3"	"1923"	0
"T12_AB128_I0_REP3"	"1287"	958
"T12_AB128_I0_REP3"	"3031"	211
"T12_AB128_I0_REP3"	"216"	0
"T12_AB128_I0_REP3"	"1299"	0
"T12_AB128_I0_REP3"	"1977"	0
"T12_AB128_I0_REP3"	"2160"	0
"T12_AB128_I0_REP3"	"3237"	0
"T12_AB128_I0_REP3"	"403"	0
"T12_AB128_I0_REP3"	"2467"	0
"T12_AB128_I0_REP3"	"262"	0
"T12_AB128_I0_REP3"	"1875"	670
"T12_AB128_I0_REP3"	"1842"	0
"T12_AB128_I0_REP3"	"2948"	0
"T12_AB128_I1_REP1"	"RP4"	0
"T12_AB128_I1_REP1"	"1972"	120
"T12_AB128_I1_REP1"	"6"	3
"T12_AB128_I1_REP1"	"K12"	0
