"sample"	"strain"	"median"
"T8_AB128_I1_REP3"	"2467"	0
"T8_AB128_I1_REP3"	"262"	0
"T8_AB128_I1_REP3"	"1875"	1075
"T8_AB128_I1_REP3"	"1842"	2
"T8_AB128_I1_REP3"	"2948"	0
"T8_AB16_I0_REP1"	"RP4"	0
"T8_AB16_I0_REP1"	"1972"	25
"T8_AB16_I0_REP1"	"6"	0
"T8_AB16_I0_REP1"	"K12"	0
"T8_AB16_I0_REP1"	"2494"	0
"T8_AB16_I0_REP1"	"2159"	0
"T8_AB16_I0_REP1"	"2792"	0
"T8_AB16_I0_REP1"	"2443"	0
"T8_AB16_I0_REP1"	"1292"	0
"T8_AB16_I0_REP1"	"3172"	7
"T8_AB16_I0_REP1"	"1988"	0
"T8_AB16_I0_REP1"	"2659"	0
"T8_AB16_I0_REP1"	"1279"	0
"T8_AB16_I0_REP1"	"1992"	8
"T8_AB16_I0_REP1"	"1966"	0
"T8_AB16_I0_REP1"	"97"	0
"T8_AB16_I0_REP1"	"2164"	0
"T8_AB16_I0_REP1"	"1896"	93
"T8_AB16_I0_REP1"	"105"	32
"T8_AB16_I0_REP1"	"1874"	19
"T8_AB16_I0_REP1"	"1923"	4
"T8_AB16_I0_REP1"	"1287"	1041
"T8_AB16_I0_REP1"	"3031"	23
"T8_AB16_I0_REP1"	"216"	0
"T8_AB16_I0_REP1"	"1299"	0
"T8_AB16_I0_REP1"	"1977"	231
"T8_AB16_I0_REP1"	"2160"	11
"T8_AB16_I0_REP1"	"3237"	0
"T8_AB16_I0_REP1"	"403"	37
"T8_AB16_I0_REP1"	"2467"	0
"T8_AB16_I0_REP1"	"262"	0
"T8_AB16_I0_REP1"	"1875"	974
"T8_AB16_I0_REP1"	"1842"	0
"T8_AB16_I0_REP1"	"2948"	0
"T8_AB16_I0_REP2"	"RP4"	0
"T8_AB16_I0_REP2"	"1972"	17
"T8_AB16_I0_REP2"	"6"	0
"T8_AB16_I0_REP2"	"K12"	0
"T8_AB16_I0_REP2"	"2494"	0
"T8_AB16_I0_REP2"	"2159"	0
"T8_AB16_I0_REP2"	"2792"	0
"T8_AB16_I0_REP2"	"2443"	0
"T8_AB16_I0_REP2"	"1292"	0
"T8_AB16_I0_REP2"	"3172"	10
"T8_AB16_I0_REP2"	"1988"	0
"T8_AB16_I0_REP2"	"2659"	0
"T8_AB16_I0_REP2"	"1279"	0
"T8_AB16_I0_REP2"	"1992"	13
"T8_AB16_I0_REP2"	"1966"	0
"T8_AB16_I0_REP2"	"97"	0
"T8_AB16_I0_REP2"	"2164"	0
"T8_AB16_I0_REP2"	"1896"	111
"T8_AB16_I0_REP2"	"105"	29
"T8_AB16_I0_REP2"	"1874"	19
"T8_AB16_I0_REP2"	"1923"	5
"T8_AB16_I0_REP2"	"1287"	1108
"T8_AB16_I0_REP2"	"3031"	26
"T8_AB16_I0_REP2"	"216"	0
"T8_AB16_I0_REP2"	"1299"	0
"T8_AB16_I0_REP2"	"1977"	117
"T8_AB16_I0_REP2"	"2160"	12
"T8_AB16_I0_REP2"	"3237"	0
"T8_AB16_I0_REP2"	"403"	81
"T8_AB16_I0_REP2"	"2467"	0
"T8_AB16_I0_REP2"	"262"	0
"T8_AB16_I0_REP2"	"1875"	1003
"T8_AB16_I0_REP2"	"1842"	0
"T8_AB16_I0_REP2"	"2948"	0
"T8_AB16_I0_REP3"	"RP4"	0
"T8_AB16_I0_REP3"	"1972"	33
"T8_AB16_I0_REP3"	"6"	0
"T8_AB16_I0_REP3"	"K12"	0
"T8_AB16_I0_REP3"	"2494"	0
"T8_AB16_I0_REP3"	"2159"	0
"T8_AB16_I0_REP3"	"2792"	0
"T8_AB16_I0_REP3"	"2443"	0
"T8_AB16_I0_REP3"	"1292"	0
"T8_AB16_I0_REP3"	"3172"	10
"T8_AB16_I0_REP3"	"1988"	0
"T8_AB16_I0_REP3"	"2659"	0
"T8_AB16_I0_REP3"	"1279"	0
"T8_AB16_I0_REP3"	"1992"	8
"T8_AB16_I0_REP3"	"1966"	0
"T8_AB16_I0_REP3"	"97"	0
"T8_AB16_I0_REP3"	"2164"	0
"T8_AB16_I0_REP3"	"1896"	82
"T8_AB16_I0_REP3"	"105"	29
"T8_AB16_I0_REP3"	"1874"	13
"T8_AB16_I0_REP3"	"1923"	6
"T8_AB16_I0_REP3"	"1287"	1064
"T8_AB16_I0_REP3"	"3031"	20
"T8_AB16_I0_REP3"	"216"	0
"T8_AB16_I0_REP3"	"1299"	0
"T8_AB16_I0_REP3"	"1977"	171
"T8_AB16_I0_REP3"	"2160"	11
"T8_AB16_I0_REP3"	"3237"	0
"T8_AB16_I0_REP3"	"403"	29
"T8_AB16_I0_REP3"	"2467"	0
"T8_AB16_I0_REP3"	"262"	0
"T8_AB16_I0_REP3"	"1875"	916
"T8_AB16_I0_REP3"	"1842"	0
"T8_AB16_I0_REP3"	"2948"	0
"T8_AB16_I1_REP1"	"RP4"	0
"T8_AB16_I1_REP1"	"1972"	62
"T8_AB16_I1_REP1"	"6"	0
"T8_AB16_I1_REP1"	"K12"	0
"T8_AB16_I1_REP1"	"2494"	0
"T8_AB16_I1_REP1"	"2159"	0
"T8_AB16_I1_REP1"	"2792"	0
"T8_AB16_I1_REP1"	"2443"	0
"T8_AB16_I1_REP1"	"1292"	6
"T8_AB16_I1_REP1"	"3172"	5
"T8_AB16_I1_REP1"	"1988"	0
"T8_AB16_I1_REP1"	"2659"	0
"T8_AB16_I1_REP1"	"1279"	0
"T8_AB16_I1_REP1"	"1992"	7
"T8_AB16_I1_REP1"	"1966"	0
"T8_AB16_I1_REP1"	"97"	0
"T8_AB16_I1_REP1"	"2164"	0
"T8_AB16_I1_REP1"	"1896"	85
"T8_AB16_I1_REP1"	"105"	22
"T8_AB16_I1_REP1"	"1874"	8
"T8_AB16_I1_REP1"	"1923"	4
"T8_AB16_I1_REP1"	"1287"	1158
"T8_AB16_I1_REP1"	"3031"	21
"T8_AB16_I1_REP1"	"216"	0
"T8_AB16_I1_REP1"	"1299"	0
"T8_AB16_I1_REP1"	"1977"	372
"T8_AB16_I1_REP1"	"2160"	38
"T8_AB16_I1_REP1"	"3237"	0
"T8_AB16_I1_REP1"	"403"	61
"T8_AB16_I1_REP1"	"2467"	0
"T8_AB16_I1_REP1"	"262"	0
"T8_AB16_I1_REP1"	"1875"	995
"T8_AB16_I1_REP1"	"1842"	20
"T8_AB16_I1_REP1"	"2948"	0
"T8_AB16_I1_REP2"	"RP4"	0
"T8_AB16_I1_REP2"	"1972"	23
"T8_AB16_I1_REP2"	"6"	0
"T8_AB16_I1_REP2"	"K12"	0
"T8_AB16_I1_REP2"	"2494"	0
"T8_AB16_I1_REP2"	"2159"	0
"T8_AB16_I1_REP2"	"2792"	0
"T8_AB16_I1_REP2"	"2443"	0
"T8_AB16_I1_REP2"	"1292"	2
"T8_AB16_I1_REP2"	"3172"	4
"T8_AB16_I1_REP2"	"1988"	0
"T8_AB16_I1_REP2"	"2659"	0
"T8_AB16_I1_REP2"	"1279"	0
"T8_AB16_I1_REP2"	"1992"	6
"T8_AB16_I1_REP2"	"1966"	0
"T8_AB16_I1_REP2"	"97"	0
"T8_AB16_I1_REP2"	"2164"	0
"T8_AB16_I1_REP2"	"1896"	78
"T8_AB16_I1_REP2"	"105"	25
"T8_AB16_I1_REP2"	"1874"	9
"T8_AB16_I1_REP2"	"1923"	3
"T8_AB16_I1_REP2"	"1287"	827
"T8_AB16_I1_REP2"	"3031"	17
"T8_AB16_I1_REP2"	"216"	0
"T8_AB16_I1_REP2"	"1299"	0
"T8_AB16_I1_REP2"	"1977"	71
"T8_AB16_I1_REP2"	"2160"	11
"T8_AB16_I1_REP2"	"3237"	0
"T8_AB16_I1_REP2"	"403"	111
"T8_AB16_I1_REP2"	"2467"	0
"T8_AB16_I1_REP2"	"262"	0
"T8_AB16_I1_REP2"	"1875"	706
"T8_AB16_I1_REP2"	"1842"	13
"T8_AB16_I1_REP2"	"2948"	0
"T8_AB16_I1_REP3"	"RP4"	0
"T8_AB16_I1_REP3"	"1972"	23
"T8_AB16_I1_REP3"	"6"	0
"T8_AB16_I1_REP3"	"K12"	0
"T8_AB16_I1_REP3"	"2494"	0
"T8_AB16_I1_REP3"	"2159"	0
"T8_AB16_I1_REP3"	"2792"	0
"T8_AB16_I1_REP3"	"2443"	0
"T8_AB16_I1_REP3"	"1292"	0
"T8_AB16_I1_REP3"	"3172"	6
"T8_AB16_I1_REP3"	"1988"	0
"T8_AB16_I1_REP3"	"2659"	0
"T8_AB16_I1_REP3"	"1279"	0
"T8_AB16_I1_REP3"	"1992"	7
"T8_AB16_I1_REP3"	"1966"	0
"T8_AB16_I1_REP3"	"97"	0
"T8_AB16_I1_REP3"	"2164"	0
"T8_AB16_I1_REP3"	"1896"	83
"T8_AB16_I1_REP3"	"105"	18
"T8_AB16_I1_REP3"	"1874"	12
"T8_AB16_I1_REP3"	"1923"	3
"T8_AB16_I1_REP3"	"1287"	802.5
"T8_AB16_I1_REP3"	"3031"	20
"T8_AB16_I1_REP3"	"216"	0
"T8_AB16_I1_REP3"	"1299"	0
"T8_AB16_I1_REP3"	"1977"	100
"T8_AB16_I1_REP3"	"2160"	10
"T8_AB16_I1_REP3"	"3237"	0
"T8_AB16_I1_REP3"	"403"	90
"T8_AB16_I1_REP3"	"2467"	0
"T8_AB16_I1_REP3"	"262"	0
"T8_AB16_I1_REP3"	"1875"	746
"T8_AB16_I1_REP3"	"1842"	15
"T8_AB16_I1_REP3"	"2948"	0
"T8_AB4_I0_REP1"	"RP4"	0
"T8_AB4_I0_REP1"	"1972"	200
"T8_AB4_I0_REP1"	"6"	0
"T8_AB4_I0_REP1"	"K12"	0
"T8_AB4_I0_REP1"	"2494"	0
"T8_AB4_I0_REP1"	"2159"	0
"T8_AB4_I0_REP1"	"2792"	0
"T8_AB4_I0_REP1"	"2443"	18
"T8_AB4_I0_REP1"	"1292"	5
"T8_AB4_I0_REP1"	"3172"	10
"T8_AB4_I0_REP1"	"1988"	0
"T8_AB4_I0_REP1"	"2659"	0
"T8_AB4_I0_REP1"	"1279"	0
"T8_AB4_I0_REP1"	"1992"	3
"T8_AB4_I0_REP1"	"1966"	0
"T8_AB4_I0_REP1"	"97"	0
"T8_AB4_I0_REP1"	"2164"	1
"T8_AB4_I0_REP1"	"1896"	49
"T8_AB4_I0_REP1"	"105"	15
"T8_AB4_I0_REP1"	"1874"	16
"T8_AB4_I0_REP1"	"1923"	6
"T8_AB4_I0_REP1"	"1287"	358
"T8_AB4_I0_REP1"	"3031"	9
"T8_AB4_I0_REP1"	"216"	1
"T8_AB4_I0_REP1"	"1299"	0
"T8_AB4_I0_REP1"	"1977"	685
"T8_AB4_I0_REP1"	"2160"	13
"T8_AB4_I0_REP1"	"3237"	0
"T8_AB4_I0_REP1"	"403"	5
"T8_AB4_I0_REP1"	"2467"	0
"T8_AB4_I0_REP1"	"262"	0
"T8_AB4_I0_REP1"	"1875"	529
"T8_AB4_I0_REP1"	"1842"	0
"T8_AB4_I0_REP1"	"2948"	0
"T8_AB4_I0_REP2"	"RP4"	0
"T8_AB4_I0_REP2"	"1972"	214
"T8_AB4_I0_REP2"	"6"	0
"T8_AB4_I0_REP2"	"K12"	0
"T8_AB4_I0_REP2"	"2494"	0
"T8_AB4_I0_REP2"	"2159"	0
"T8_AB4_I0_REP2"	"2792"	0
"T8_AB4_I0_REP2"	"2443"	20
"T8_AB4_I0_REP2"	"1292"	6
"T8_AB4_I0_REP2"	"3172"	10
"T8_AB4_I0_REP2"	"1988"	0
"T8_AB4_I0_REP2"	"2659"	0
"T8_AB4_I0_REP2"	"1279"	0
"T8_AB4_I0_REP2"	"1992"	2
"T8_AB4_I0_REP2"	"1966"	0
"T8_AB4_I0_REP2"	"97"	0
"T8_AB4_I0_REP2"	"2164"	0
"T8_AB4_I0_REP2"	"1896"	59
"T8_AB4_I0_REP2"	"105"	20
"T8_AB4_I0_REP2"	"1874"	30
"T8_AB4_I0_REP2"	"1923"	7
"T8_AB4_I0_REP2"	"1287"	386
"T8_AB4_I0_REP2"	"3031"	11
"T8_AB4_I0_REP2"	"216"	1
"T8_AB4_I0_REP2"	"1299"	0
"T8_AB4_I0_REP2"	"1977"	717
"T8_AB4_I0_REP2"	"2160"	14
"T8_AB4_I0_REP2"	"3237"	0
"T8_AB4_I0_REP2"	"403"	5
"T8_AB4_I0_REP2"	"2467"	0
"T8_AB4_I0_REP2"	"262"	0
"T8_AB4_I0_REP2"	"1875"	588
"T8_AB4_I0_REP2"	"1842"	0
"T8_AB4_I0_REP2"	"2948"	0
"T8_AB4_I0_REP3"	"RP4"	0
"T8_AB4_I0_REP3"	"1972"	268
"T8_AB4_I0_REP3"	"6"	0
"T8_AB4_I0_REP3"	"K12"	0
"T8_AB4_I0_REP3"	"2494"	0
"T8_AB4_I0_REP3"	"2159"	0
"T8_AB4_I0_REP3"	"2792"	0
"T8_AB4_I0_REP3"	"2443"	21
"T8_AB4_I0_REP3"	"1292"	6
"T8_AB4_I0_REP3"	"3172"	10
"T8_AB4_I0_REP3"	"1988"	0
"T8_AB4_I0_REP3"	"2659"	0
"T8_AB4_I0_REP3"	"1279"	0
"T8_AB4_I0_REP3"	"1992"	2
"T8_AB4_I0_REP3"	"1966"	0
"T8_AB4_I0_REP3"	"97"	0
"T8_AB4_I0_REP3"	"2164"	0
"T8_AB4_I0_REP3"	"1896"	75
"T8_AB4_I0_REP3"	"105"	23
"T8_AB4_I0_REP3"	"1874"	40
"T8_AB4_I0_REP3"	"1923"	10
"T8_AB4_I0_REP3"	"1287"	365
"T8_AB4_I0_REP3"	"3031"	12
"T8_AB4_I0_REP3"	"216"	2
"T8_AB4_I0_REP3"	"1299"	0
"T8_AB4_I0_REP3"	"1977"	772
"T8_AB4_I0_REP3"	"2160"	19
"T8_AB4_I0_REP3"	"3237"	0
"T8_AB4_I0_REP3"	"403"	18
"T8_AB4_I0_REP3"	"2467"	0
"T8_AB4_I0_REP3"	"262"	0
"T8_AB4_I0_REP3"	"1875"	653
"T8_AB4_I0_REP3"	"1842"	0
"T8_AB4_I0_REP3"	"2948"	0
"T8_AB4_I1_REP1"	"RP4"	0
"T8_AB4_I1_REP1"	"1972"	163
"T8_AB4_I1_REP1"	"6"	0
"T8_AB4_I1_REP1"	"K12"	0
"T8_AB4_I1_REP1"	"2494"	0
"T8_AB4_I1_REP1"	"2159"	0
"T8_AB4_I1_REP1"	"2792"	0
"T8_AB4_I1_REP1"	"2443"	17
"T8_AB4_I1_REP1"	"1292"	4
"T8_AB4_I1_REP1"	"3172"	6
"T8_AB4_I1_REP1"	"1988"	0
"T8_AB4_I1_REP1"	"2659"	0
"T8_AB4_I1_REP1"	"1279"	0
"T8_AB4_I1_REP1"	"1992"	1
"T8_AB4_I1_REP1"	"1966"	0
"T8_AB4_I1_REP1"	"97"	0
"T8_AB4_I1_REP1"	"2164"	0
"T8_AB4_I1_REP1"	"1896"	56
"T8_AB4_I1_REP1"	"105"	18
"T8_AB4_I1_REP1"	"1874"	16
"T8_AB4_I1_REP1"	"1923"	7
"T8_AB4_I1_REP1"	"1287"	339
"T8_AB4_I1_REP1"	"3031"	6
"T8_AB4_I1_REP1"	"216"	0
"T8_AB4_I1_REP1"	"1299"	0
"T8_AB4_I1_REP1"	"1977"	682
"T8_AB4_I1_REP1"	"2160"	10
"T8_AB4_I1_REP1"	"3237"	0
"T8_AB4_I1_REP1"	"403"	6
"T8_AB4_I1_REP1"	"2467"	0
"T8_AB4_I1_REP1"	"262"	0
"T8_AB4_I1_REP1"	"1875"	424
"T8_AB4_I1_REP1"	"1842"	13
"T8_AB4_I1_REP1"	"2948"	0
"T8_AB4_I1_REP2"	"RP4"	0
"T8_AB4_I1_REP2"	"1972"	181
"T8_AB4_I1_REP2"	"6"	0
"T8_AB4_I1_REP2"	"K12"	0
"T8_AB4_I1_REP2"	"2494"	0
"T8_AB4_I1_REP2"	"2159"	0
"T8_AB4_I1_REP2"	"2792"	0
"T8_AB4_I1_REP2"	"2443"	16
"T8_AB4_I1_REP2"	"1292"	5
"T8_AB4_I1_REP2"	"3172"	7
"T8_AB4_I1_REP2"	"1988"	0
"T8_AB4_I1_REP2"	"2659"	0
"T8_AB4_I1_REP2"	"1279"	0
"T8_AB4_I1_REP2"	"1992"	2
"T8_AB4_I1_REP2"	"1966"	0
"T8_AB4_I1_REP2"	"97"	0
"T8_AB4_I1_REP2"	"2164"	0
"T8_AB4_I1_REP2"	"1896"	77
"T8_AB4_I1_REP2"	"105"	18
"T8_AB4_I1_REP2"	"1874"	24
"T8_AB4_I1_REP2"	"1923"	11
"T8_AB4_I1_REP2"	"1287"	308
"T8_AB4_I1_REP2"	"3031"	11
"T8_AB4_I1_REP2"	"216"	0
"T8_AB4_I1_REP2"	"1299"	0
"T8_AB4_I1_REP2"	"1977"	718
"T8_AB4_I1_REP2"	"2160"	10
"T8_AB4_I1_REP2"	"3237"	0
"T8_AB4_I1_REP2"	"403"	6
"T8_AB4_I1_REP2"	"2467"	0
"T8_AB4_I1_REP2"	"262"	0
"T8_AB4_I1_REP2"	"1875"	690
"T8_AB4_I1_REP2"	"1842"	13
"T8_AB4_I1_REP2"	"2948"	0
"T8_AB4_I1_REP3"	"RP4"	0
"T8_AB4_I1_REP3"	"1972"	184
"T8_AB4_I1_REP3"	"6"	0
"T8_AB4_I1_REP3"	"K12"	0
"T8_AB4_I1_REP3"	"2494"	0
"T8_AB4_I1_REP3"	"2159"	0
"T8_AB4_I1_REP3"	"2792"	0
"T8_AB4_I1_REP3"	"2443"	19
"T8_AB4_I1_REP3"	"1292"	5
"T8_AB4_I1_REP3"	"3172"	6
"T8_AB4_I1_REP3"	"1988"	0
"T8_AB4_I1_REP3"	"2659"	0
"T8_AB4_I1_REP3"	"1279"	0
"T8_AB4_I1_REP3"	"1992"	1
"T8_AB4_I1_REP3"	"1966"	0
"T8_AB4_I1_REP3"	"97"	0
"T8_AB4_I1_REP3"	"2164"	0
"T8_AB4_I1_REP3"	"1896"	74
"T8_AB4_I1_REP3"	"105"	18
"T8_AB4_I1_REP3"	"1874"	24
"T8_AB4_I1_REP3"	"1923"	12
"T8_AB4_I1_REP3"	"1287"	291
"T8_AB4_I1_REP3"	"3031"	11
"T8_AB4_I1_REP3"	"216"	0
"T8_AB4_I1_REP3"	"1299"	0
"T8_AB4_I1_REP3"	"1977"	735
"T8_AB4_I1_REP3"	"2160"	13
"T8_AB4_I1_REP3"	"3237"	0
"T8_AB4_I1_REP3"	"403"	7
"T8_AB4_I1_REP3"	"2467"	0
"T8_AB4_I1_REP3"	"262"	0
"T8_AB4_I1_REP3"	"1875"	690
"T8_AB4_I1_REP3"	"1842"	15
